1500753661.6,s0,35.50,95.90,s1,30.75,87.35,s2,29.25,84.65,s3,34.00,93.20,s4,35.50,95.90
1500754501.57,s0,36.00,96.80,s1,31.00,87.80,s2,29.25,84.65,s3,34.50,94.10,s4,36.00,96.80
1500755461.61,s0,36.50,97.70,s1,31.50,88.70,s2,29.50,85.10,s3,35.00,95.00,s4,36.50,97.70
1500757261.49,s0,37.25,99.05,s1,32.00,89.60,s2,30.00,86.00,s3,35.75,96.35,s4,37.25,99.05
1500758101.48,s0,37.50,99.50,s1,32.25,90.05,s2,30.00,86.00,s3,36.00,96.80,s4,37.50,99.50
1500759061.71,s0,37.50,99.50,s1,32.50,90.50,s2,30.25,86.45,s3,36.25,97.25,s4,37.75,99.95
1500760861.59,s0,37.50,99.50,s1,33.00,91.40,s2,30.75,87.35,s3,36.25,97.25,s4,37.75,99.95
1500761701.57,s0,37.50,99.50,s1,33.25,91.85,s2,31.00,87.80,s3,36.25,97.25,s4,37.50,99.50
1500762661.88,s0,37.25,99.05,s1,33.50,92.30,s2,31.00,87.80,s3,36.25,97.25,s4,37.50,99.50
1500764461.76,s0,35.25,95.45,s1,33.50,92.30,s2,31.50,88.70,s3,35.00,95.00,s4,36.25,97.25
1500765301.74,s0,36.75,98.15,s1,33.50,92.30,s2,31.50,88.70,s3,35.75,96.35,s4,36.75,98.15
1500766262.04,s0,36.75,98.15,s1,33.75,92.75,s2,31.75,89.15,s3,36.00,96.80,s4,37.00,98.60
1500768061.92,s0,36.75,98.15,s1,34.00,93.20,s2,32.00,89.60,s3,36.00,96.80,s4,36.75,98.15
1500768901.9,s0,36.50,97.70,s1,34.00,93.20,s2,32.25,90.05,s3,35.75,96.35,s4,36.50,97.70
1500769861.21,s0,36.25,97.25,s1,34.00,93.20,s2,32.25,90.05,s3,35.50,95.90,s4,36.25,97.25
1500771661.09,s0,35.50,95.90,s1,34.00,93.20,s2,32.50,90.50,s3,35.25,95.45,s4,35.75,96.35
1500772502.08,s0,35.25,95.45,s1,34.00,93.20,s2,32.50,90.50,s3,35.00,95.00,s4,35.50,95.90
1500773461.4,s0,34.75,94.55,s1,34.00,93.20,s2,32.75,90.95,s3,34.75,94.55,s4,35.00,95.00
1500775261.28,s0,34.00,93.20,s1,33.75,92.75,s2,32.75,90.95,s3,34.00,93.20,s4,34.25,93.65
1500776101.26,s0,33.75,92.75,s1,33.75,92.75,s2,32.75,90.95,s3,33.75,92.75,s4,34.00,93.20
1500777061.48,s0,33.50,92.30,s1,33.50,92.30,s2,32.75,90.95,s3,33.50,92.30,s4,33.75,92.75
1500778861.36,s0,32.75,90.95,s1,33.25,91.85,s2,32.75,90.95,s3,33.00,91.40,s4,33.00,91.40
1500779701.34,s0,32.50,90.50,s1,33.25,91.85,s2,32.75,90.95,s3,32.75,90.95,s4,32.75,90.95
1500780661.64,s0,32.25,90.05,s1,33.00,91.40,s2,32.75,90.95,s3,32.50,90.50,s4,32.50,90.50
1500782461.52,s0,31.75,89.15,s1,32.75,90.95,s2,32.75,90.95,s3,32.00,89.60,s4,32.00,89.60
1500783301.5,s0,31.50,88.70,s1,32.75,90.95,s2,32.75,90.95,s3,31.75,89.15,s4,31.75,89.15
1500784261.53,s0,31.25,88.25,s1,32.50,90.50,s2,32.50,90.50,s3,31.50,88.70,s4,31.50,88.70
